% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 53.12    0.880401          34     25860           sendto
 39.05    0.647131          25     25861           recvfrom
  2.33    0.038676           7      5028           fcntl
  1.71    0.028311          11      2515         2 accept
  1.47    0.024437           9      2514           epoll_ctl
  1.23    0.020396           8      2514           setsockopt
  0.74    0.012321          47       262           epoll_pwait
  0.11    0.001888          72        26           write
  0.07    0.001118          13        81           brk
  0.06    0.001000          12        78           madvise
  0.03    0.000433         144         3           close
  0.02    0.000401          50         8           mmap
  0.01    0.000170          42         4           mprotect
  0.01    0.000127          42         3           munmap
  0.01    0.000103          51         2           openat
  0.00    0.000062          20         3           fstat
  0.00    0.000057          57         1           set_robust_list
  0.00    0.000035          35         1           prlimit64
  0.00    0.000033          33         1           socket
  0.00    0.000032          32         1           read
  0.00    0.000029          29         1           set_tid_address
  0.00    0.000025          25         1         1 faccessat
  0.00    0.000024          24         1           rt_sigaction
  0.00    0.000024          24         1           getrandom
  0.00    0.000015          15         1           rseq
  0.00    0.000011          11         1           bind
  0.00    0.000008           8         1           epoll_create1
  0.00    0.000006           6         1           listen
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.657274          25     64775         3 total
