% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 47.68    0.985826          24     39925           sendto
 37.45    0.774372          19     39855           recvfrom
  5.46    0.112867           5     20004           fcntl
  4.51    0.093160           9     10007         6 accept
  3.01    0.062209           6     10002           setsockopt
  1.28    0.026487        2648        10           ppoll
  0.33    0.006885          49       138           write
  0.13    0.002649           8       316           brk
  0.13    0.002628           8       313           madvise
  0.01    0.000132          16         8           mmap
  0.00    0.000098          24         4           mprotect
  0.00    0.000058          19         3           close
  0.00    0.000054          54         1           socket
  0.00    0.000051          51         1           bind
  0.00    0.000048          16         3           munmap
  0.00    0.000034          34         1         1 faccessat
  0.00    0.000029          29         1           getrandom
  0.00    0.000027          27         1           rt_sigaction
  0.00    0.000025          12         2           openat
  0.00    0.000025           8         3           fstat
  0.00    0.000020          20         1           set_tid_address
  0.00    0.000020          20         1           listen
  0.00    0.000017          17         1           prlimit64
  0.00    0.000003           3         1           read
  0.00    0.000002           2         1           rseq
  0.00    0.000001           1         1           set_robust_list
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    2.067727          17    120605         7 total
