% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.75    1.065546          11     94807           close
 32.51    0.535017           5     95825         1 accept
  1.63    0.026775          27       958           write
  0.72    0.011861           5      2042           fcntl
  0.33    0.005453           5      1021           setsockopt
  0.02    0.000264           7        35           brk
  0.02    0.000251          62         4           mprotect
  0.01    0.000175           5        32           madvise
  0.00    0.000082          82         1           prlimit64
  0.00    0.000046          15         3           pselect6
  0.00    0.000039          13         3           fstat
  0.00    0.000038          12         3           munmap
  0.00    0.000035          35         1           socket
  0.00    0.000034          34         1           bind
  0.00    0.000028           3         8           mmap
  0.00    0.000028          28         1           getrandom
  0.00    0.000024          24         1           listen
  0.00    0.000023          23         1           rt_sigaction
  0.00    0.000011          11         1           recvfrom
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    1.645730           8    194756         2 total
