% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.60   10.359232        1739      5955           io_uring_enter
  0.34    0.035259          11      2977           setsockopt
  0.02    0.002184          66        33           write
  0.02    0.001786          17       101           brk
  0.02    0.001598          16        96           madvise
  0.00    0.000266          24        11           mmap
  0.00    0.000205         205         1           io_uring_setup
  0.00    0.000079          79         1           bind
  0.00    0.000079          19         4           mprotect
  0.00    0.000053          53         1           socket
  0.00    0.000046          23         2           fcntl
  0.00    0.000024           8         3           fstat
  0.00    0.000024          24         1           listen
  0.00    0.000024           8         3           munmap
  0.00    0.000020          20         1           set_tid_address
  0.00    0.000019           9         2           close
  0.00    0.000019          19         1           set_robust_list
  0.00    0.000017          17         1           rseq
  0.00    0.000015          15         1           rt_sigaction
  0.00    0.000015          15         1           prlimit64
  0.00    0.000014          14         1           getrandom
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00   10.400978        1130      9202         1 total
