% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.53    0.668757          31     21152           close
 37.43    0.420501          18     22173         3 accept
  1.32    0.014775          66       221           write
  0.92    0.010372           5      2042           fcntl
  0.45    0.005096           4      1021           setsockopt
  0.14    0.001563          44        35           brk
  0.05    0.000553         553         1           execve
  0.05    0.000524          65         8           mmap
  0.02    0.000236         118         2           openat
  0.02    0.000222           6        32           madvise
  0.01    0.000163          40         4           mprotect
  0.01    0.000135          45         3           munmap
  0.01    0.000081          81         1           socket
  0.00    0.000054          18         3           fstat
  0.00    0.000040          40         1           bind
  0.00    0.000037          37         1           listen
  0.00    0.000030          30         1           read
  0.00    0.000029          29         1         1 faccessat
  0.00    0.000027          27         1           rseq
  0.00    0.000022          22         1           set_tid_address
  0.00    0.000022          22         1           set_robust_list
  0.00    0.000022          22         1           rt_sigaction
  0.00    0.000022          22         1           prlimit64
  0.00    0.000021          21         1           getrandom
  0.00    0.000010           2         5           pselect6
  0.00    0.000000           0         1           recvfrom
------ ----------- ----------- --------- --------- ----------------
100.00    1.123314          24     46714         4 total
