% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.57   10.475279        1551      6751           io_uring_enter
  0.36    0.037801          11      3375           setsockopt
  0.02    0.002384          20       115           brk
  0.02    0.002305          56        41           write
  0.02    0.001687          15       111           madvise
  0.00    0.000439         439         1           io_uring_setup
  0.00    0.000242          22        11           mmap
  0.00    0.000151         151         1           bind
  0.00    0.000094          94         1           socket
  0.00    0.000055          27         2           fcntl
  0.00    0.000053          13         4           mprotect
  0.00    0.000052          17         3           munmap
  0.00    0.000048          48         1           listen
  0.00    0.000035          35         1           getrandom
  0.00    0.000034          34         1           rt_sigaction
  0.00    0.000033          33         1           prlimit64
  0.00    0.000006           2         3           fstat
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         2           close
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00   10.520698        1008     10433         1 total
