% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.44    5.996208         331     18096         1 io_uring_enter
  0.46    0.027450          18      1502           setsockopt
  0.03    0.001530          28        54           brk
  0.02    0.001491          59        25           write
  0.02    0.001265          25        50           madvise
  0.01    0.000702         702         1           execve
  0.01    0.000390         390         1           io_uring_setup
  0.01    0.000327          29        11           mmap
  0.00    0.000246          61         4           mprotect
  0.00    0.000030          30         1           socket
  0.00    0.000028          14         2           openat
  0.00    0.000023          23         1           read
  0.00    0.000018           6         3           munmap
  0.00    0.000015          15         1           bind
  0.00    0.000007           2         3           fstat
  0.00    0.000007           7         1           listen
  0.00    0.000006           3         2           fcntl
  0.00    0.000004           4         1           prlimit64
  0.00    0.000004           4         1           getrandom
  0.00    0.000003           3         1           rt_sigaction
  0.00    0.000002           1         2           close
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000001           1         1           rseq
  0.00    0.000000           0         1         1 faccessat
------ ----------- ----------- --------- --------- ----------------
100.00    6.029761         305     19767         2 total
