% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.63    0.918883          29     30645           sendto
 40.42    0.679852          22     30646           recvfrom
  1.44    0.024171           6      4027         6 accept
  1.41    0.023642           2      8044           fcntl
  1.09    0.018339        1309        14           ppoll
  0.74    0.012526           3      4022           setsockopt
  0.11    0.001812          32        55           write
  0.04    0.000594           4       129           brk
  0.03    0.000546           4       126           madvise
  0.03    0.000539         539         1           execve
  0.02    0.000314          39         8           mmap
  0.01    0.000214          53         4           mprotect
  0.01    0.000175          58         3           munmap
  0.01    0.000085          85         1           read
  0.00    0.000054          54         1           set_robust_list
  0.00    0.000054          54         1           socket
  0.00    0.000051          25         2           openat
  0.00    0.000044          14         3           close
  0.00    0.000035          35         1           bind
  0.00    0.000035          35         1           listen
  0.00    0.000032          32         1           getrandom
  0.00    0.000031          10         3           fstat
  0.00    0.000030          30         1           prlimit64
  0.00    0.000029          29         1           rseq
  0.00    0.000024          24         1           rt_sigaction
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000003           3         1         1 faccessat
------ ----------- ----------- --------- --------- ----------------
100.00    1.682119          21     77743         7 total
