% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.51    0.732357          32     22546           close
 37.77    0.464765          19     23569         5 accept
  1.29    0.015893          67       235           write
  0.80    0.009847           4      2042           fcntl
  0.46    0.005620           5      1021           setsockopt
  0.05    0.000659         659         1           execve
  0.03    0.000316          39         8           mmap
  0.02    0.000242           6        35           brk
  0.02    0.000191           5        32           madvise
  0.01    0.000133          33         4           mprotect
  0.01    0.000103          14         7           pselect6
  0.01    0.000091          30         3           munmap
  0.01    0.000072          24         3           fstat
  0.01    0.000066          33         2           openat
  0.00    0.000052          52         1           socket
  0.00    0.000035          35         1           getrandom
  0.00    0.000034          34         1           rseq
  0.00    0.000033          33         1           bind
  0.00    0.000026          26         1         1 faccessat
  0.00    0.000026          26         1           read
  0.00    0.000025          25         1           rt_sigaction
  0.00    0.000022          22         1           set_robust_list
  0.00    0.000021          21         1           listen
  0.00    0.000018          18         1           set_tid_address
  0.00    0.000015          15         1           prlimit64
  0.00    0.000004           4         1           recvfrom
------ ----------- ----------- --------- --------- ----------------
100.00    1.230666          24     49520         6 total
