% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.09    0.846695          32     25734           close
 38.36    0.549691          20     26752         1 accept
  1.21    0.017393          65       267           write
  0.80    0.011534           5      2042           fcntl
  0.42    0.006000           5      1021           setsockopt
  0.03    0.000360         360         1           execve
  0.02    0.000306           8        35           brk
  0.02    0.000257           8        32           madvise
  0.01    0.000120          30         4           mprotect
  0.01    0.000113          14         8           mmap
  0.00    0.000061          20         3           fstat
  0.00    0.000045          22         2           openat
  0.00    0.000040          13         3           pselect6
  0.00    0.000035          11         3           munmap
  0.00    0.000033          33         1         1 faccessat
  0.00    0.000032          32         1           socket
  0.00    0.000028          28         1           bind
  0.00    0.000023          23         1           getrandom
  0.00    0.000020          20         1           rt_sigaction
  0.00    0.000020          20         1           listen
  0.00    0.000017          17         1           prlimit64
  0.00    0.000016          16         1           read
  0.00    0.000004           4         1           recvfrom
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000002           2         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    1.432849          25     55919         2 total
