% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.75    2.070863          61     33658         1 io_uring_enter
  0.11    0.002336          22       102           setsockopt
  0.03    0.000615         615         1           execve
  0.03    0.000599          54        11           mmap
  0.02    0.000513          57         9           brk
  0.01    0.000239         239         1           io_uring_setup
  0.01    0.000130          43         3           fstat
  0.01    0.000104          26         4           mprotect
  0.00    0.000103         103         1           rseq
  0.00    0.000076          76         1           write
  0.00    0.000065          32         2           openat
  0.00    0.000060          15         4           madvise
  0.00    0.000047          23         2           close
  0.00    0.000046          23         2           fcntl
  0.00    0.000036          36         1           bind
  0.00    0.000027          27         1         1 faccessat
  0.00    0.000027          27         1           socket
  0.00    0.000025          25         1           read
  0.00    0.000025          25         1           set_robust_list
  0.00    0.000024          24         1           listen
  0.00    0.000020           6         3           munmap
  0.00    0.000017          17         1           set_tid_address
  0.00    0.000009           9         1           prlimit64
  0.00    0.000005           5         1           rt_sigaction
  0.00    0.000003           3         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    2.076014          61     33814         2 total
