% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 52.01    1.095521          21     51369           sendto
 41.01    0.863873          16     51371           recvfrom
  2.07    0.043571           5      7553        13 accept
  1.97    0.041599           2     15082           fcntl
  1.47    0.031061        1634        19           ppoll
  1.07    0.022585           2      7541           setsockopt
  0.20    0.004142          39       104           write
  0.08    0.001789           7       239           brk
  0.06    0.001358           5       236           madvise
  0.02    0.000348          43         8           mmap
  0.01    0.000151          37         4           mprotect
  0.01    0.000112          37         3           munmap
  0.00    0.000053          17         3           close
  0.00    0.000047          15         3           fstat
  0.00    0.000044          44         1           socket
  0.00    0.000041          41         1           set_tid_address
  0.00    0.000039          39         1           bind
  0.00    0.000030          30         1           rt_sigaction
  0.00    0.000029          29         1           set_robust_list
  0.00    0.000024          24         1           listen
  0.00    0.000022          22         1           prlimit64
  0.00    0.000022          22         1           rseq
  0.00    0.000019          19         1           getrandom
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    2.106480          15    133549        14 total
