% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 53.35    0.891865          33     26477           sendto
 40.62    0.679075          25     26478           recvfrom
  2.20    0.036797           9      4004           fcntl
  1.57    0.026324          13      2010         9 accept
  1.09    0.018223           9      2002           setsockopt
  0.86    0.014442         601        24           ppoll
  0.09    0.001529          56        27           write
  0.06    0.001036          15        66           brk
  0.06    0.001017          16        63           madvise
  0.02    0.000320          40         8           mmap
  0.01    0.000187          46         4           mprotect
  0.01    0.000173          57         3           fstat
  0.01    0.000144          48         3           munmap
  0.01    0.000105          35         3           close
  0.01    0.000095          47         2           openat
  0.00    0.000067          67         1           prlimit64
  0.00    0.000056          56         1           socket
  0.00    0.000036          36         1           read
  0.00    0.000032          32         1           bind
  0.00    0.000028          28         1           listen
  0.00    0.000026          26         1           rt_sigaction
  0.00    0.000024          24         1           getrandom
  0.00    0.000021          21         1           set_tid_address
  0.00    0.000021          21         1           set_robust_list
  0.00    0.000020          20         1           rseq
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.671663          27     61186        10 total
