% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.26    0.899907          34     26199           sendto
 40.73    0.675485          25     26200           recvfrom
  1.73    0.028623           9      3004           fcntl
  1.24    0.020630          13      1503         2 accept
  0.92    0.015332          10      1502           setsockopt
  0.84    0.013929         663        21           ppoll
  0.08    0.001322          66        20           write
  0.05    0.000808          16        50           brk
  0.04    0.000695          14        47           madvise
  0.02    0.000304          38         8           mmap
  0.02    0.000270          90         3           close
  0.01    0.000242         242         1           set_tid_address
  0.01    0.000170         170         1         1 faccessat
  0.01    0.000157          39         4           mprotect
  0.01    0.000116          38         3           munmap
  0.01    0.000089          29         3           fstat
  0.01    0.000086          43         2           openat
  0.00    0.000044          44         1           read
  0.00    0.000037          37         1           getrandom
  0.00    0.000034          34         1           socket
  0.00    0.000028          28         1           rseq
  0.00    0.000023          23         1           prlimit64
  0.00    0.000021          21         1           rt_sigaction
  0.00    0.000020          20         1           set_robust_list
  0.00    0.000013          13         1           bind
  0.00    0.000006           6         1           listen
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.658391          28     58581         3 total
