% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 51.91    0.860189          34     25236           sendto
 39.30    0.651221          25     25237           recvfrom
  2.82    0.046671          11      4004           fcntl
  1.81    0.029917          14      2003         2 accept
  1.60    0.026558          13      2002           epoll_ctl
  1.58    0.026220          13      2002           setsockopt
  0.74    0.012306          48       256           epoll_pwait
  0.07    0.001117          16        66           brk
  0.07    0.001117          17        63           madvise
  0.07    0.001112          55        20           write
  0.02    0.000338         112         3           close
  0.00    0.000074          18         4           mprotect
  0.00    0.000046          46         1           prlimit64
  0.00    0.000044          14         3           munmap
  0.00    0.000042          42         1           getrandom
  0.00    0.000024          24         1           socket
  0.00    0.000022          22         1           rt_sigaction
  0.00    0.000012          12         1           bind
  0.00    0.000007           7         1           epoll_create1
  0.00    0.000007           7         1           listen
  0.00    0.000005           1         3           fstat
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         8           mmap
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    1.657049          27     60925         3 total
