% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.53    0.828727          32     25303           close
 37.90    0.527654          20     26322         1 accept
  1.24    0.017290          65       263           write
  0.75    0.010403           5      2042           fcntl
  0.41    0.005756           5      1021           setsockopt
  0.04    0.000581         581         1           execve
  0.03    0.000388          48         8           mmap
  0.02    0.000324           9        35           brk
  0.02    0.000315          78         4           mprotect
  0.02    0.000231           7        32           madvise
  0.01    0.000102          34         3           munmap
  0.01    0.000082          41         2           openat
  0.01    0.000070          23         3           fstat
  0.00    0.000039          39         1           read
  0.00    0.000038          38         1         1 faccessat
  0.00    0.000038          12         3           pselect6
  0.00    0.000031          31         1           prlimit64
  0.00    0.000028          28         1           getrandom
  0.00    0.000026          26         1           socket
  0.00    0.000023          23         1           set_robust_list
  0.00    0.000022          22         1           set_tid_address
  0.00    0.000021          21         1           rseq
  0.00    0.000014          14         1           rt_sigaction
  0.00    0.000014          14         1           bind
  0.00    0.000008           8         1           listen
  0.00    0.000004           4         1           recvfrom
------ ----------- ----------- --------- --------- ----------------
100.00    1.392229          25     55054         2 total
