% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 52.99    1.128886          21     53448           sendto
 39.97    0.851622          15     53450           recvfrom
  1.83    0.038951           5      7537         5 accept
  1.58    0.033585           2     15066           fcntl
  1.34    0.028613           3      7533           epoll_ctl
  1.05    0.022463          41       539           epoll_pwait
  0.87    0.018529           2      7533           setsockopt
  0.18    0.003829          49        78           write
  0.05    0.001105           4       238           brk
  0.04    0.000934           3       235           madvise
  0.02    0.000475         475         1           execve
  0.02    0.000420          52         8           mmap
  0.01    0.000213          53         4           mprotect
  0.01    0.000204          68         3           close
  0.01    0.000129          43         3           fstat
  0.01    0.000114          38         3           munmap
  0.00    0.000090          45         2           openat
  0.00    0.000056          56         1           getrandom
  0.00    0.000046          46         1           socket
  0.00    0.000038          38         1         1 faccessat
  0.00    0.000036          36         1           read
  0.00    0.000028          28         1           set_robust_list
  0.00    0.000024          24         1           prlimit64
  0.00    0.000023          23         1           set_tid_address
  0.00    0.000015          15         1           rseq
  0.00    0.000014          14         1           bind
  0.00    0.000007           7         1           epoll_create1
  0.00    0.000007           7         1           listen
  0.00    0.000004           4         1           rt_sigaction
------ ----------- ----------- --------- --------- ----------------
100.00    2.130460          14    145693         6 total
