% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 53.90    0.871541          32     26445           sendto
 40.32    0.651912          24     26447           recvfrom
  1.54    0.024858           3      7008           fcntl
  1.35    0.021812           6      3505         2 accept
  1.08    0.017498           4      3504           epoll_ctl
  0.77    0.012485          46       267           epoll_pwait
  0.77    0.012435           3      3504           setsockopt
  0.12    0.001951          54        36           write
  0.05    0.000795           7       112           brk
  0.04    0.000712           6       109           madvise
  0.02    0.000269          33         8           mmap
  0.01    0.000161          53         3           fstat
  0.01    0.000118          39         3           munmap
  0.00    0.000076          25         3           close
  0.00    0.000066          66         1           socket
  0.00    0.000053          53         1           read
  0.00    0.000047          11         4           mprotect
  0.00    0.000034          17         2           openat
  0.00    0.000029          29         1           prlimit64
  0.00    0.000016          16         1           set_tid_address
  0.00    0.000016          16         1           rt_sigaction
  0.00    0.000016          16         1           getrandom
  0.00    0.000013          13         1           bind
  0.00    0.000007           7         1           listen
  0.00    0.000006           6         1           epoll_create1
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000002           2         1           rseq
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.616931          22     70973         3 total
