% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.29    8.044894        1662      4840           io_uring_enter
  0.61    0.049145          20      2419           setsockopt
  0.03    0.002259          27        83           brk
  0.03    0.002093          69        30           write
  0.03    0.002077          26        79           madvise
  0.01    0.000552         552         1           execve
  0.01    0.000437          39        11           mmap
  0.00    0.000237         237         1           io_uring_setup
  0.00    0.000172          43         4           mprotect
  0.00    0.000131          65         2           openat
  0.00    0.000115          38         3           munmap
  0.00    0.000085          28         3           fstat
  0.00    0.000062          31         2           close
  0.00    0.000052          52         1           bind
  0.00    0.000035          35         1           socket
  0.00    0.000034          34         1           rt_sigaction
  0.00    0.000032          32         1           getrandom
  0.00    0.000031          31         1           read
  0.00    0.000029          29         1         1 faccessat
  0.00    0.000025          25         1           rseq
  0.00    0.000022          22         1           set_robust_list
  0.00    0.000022          22         1           prlimit64
  0.00    0.000021          21         1           set_tid_address
  0.00    0.000007           7         1           listen
  0.00    0.000006           3         2           fcntl
------ ----------- ----------- --------- --------- ----------------
100.00    8.102575        1081      7491         1 total
