% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.88    0.651719          21     29865           close
 35.76    0.382876          12     30883         1 accept
  1.49    0.015988          51       308           write
  1.06    0.011305           5      2042           fcntl
  0.68    0.007281           7      1021           setsockopt
  0.03    0.000323           9        35           brk
  0.03    0.000317           9        32           madvise
  0.02    0.000179          22         8           mmap
  0.01    0.000120          30         4           mprotect
  0.01    0.000094          31         3           munmap
  0.01    0.000092          30         3           pselect6
  0.00    0.000035          35         1           socket
  0.00    0.000032          10         3           fstat
  0.00    0.000027          27         1           set_robust_list
  0.00    0.000025          25         1           bind
  0.00    0.000025          25         1           getrandom
  0.00    0.000021          21         1           listen
  0.00    0.000021          21         1           recvfrom
  0.00    0.000018          18         1           prlimit64
  0.00    0.000017          17         1           rt_sigaction
  0.00    0.000015          15         1           set_tid_address
  0.00    0.000014          14         1           rseq
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.070544          16     64222         2 total
