% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 55.11    0.916495          28     31660           sendto
 39.40    0.655304          20     31661           recvfrom
  1.39    0.023054           5      4544         2 accept
  1.30    0.021569           2      9086           fcntl
  0.96    0.016011           3      4543           epoll_ctl
  0.84    0.013981          43       320           epoll_pwait
  0.70    0.011700           2      4543           setsockopt
  0.10    0.001717          36        47           write
  0.05    0.000827           5       145           brk
  0.04    0.000685         228         3           close
  0.04    0.000617           4       142           madvise
  0.02    0.000278          34         8           mmap
  0.02    0.000251          62         4           mprotect
  0.01    0.000108          36         3           munmap
  0.00    0.000076          76         1           socket
  0.00    0.000059          19         3           fstat
  0.00    0.000049          49         1           getrandom
  0.00    0.000046          46         1           set_tid_address
  0.00    0.000042          42         1           read
  0.00    0.000030          30         1           listen
  0.00    0.000029          29         1           bind
  0.00    0.000029          29         1           prlimit64
  0.00    0.000028          28         1           rseq
  0.00    0.000026          26         1           epoll_create1
  0.00    0.000024          24         1           rt_sigaction
  0.00    0.000018          18         1           set_robust_list
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.663053          19     86727         3 total
