% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 61.19    0.934902          34     26725           sendto
 37.52    0.573231          21     26727           recvfrom
  0.73    0.011211          40       274           pselect6
  0.22    0.003327        3327         1           bind
  0.06    0.000959         959         1           listen
  0.06    0.000858           8       105         4 accept
  0.06    0.000849           4       204           fcntl
  0.03    0.000524         524         1           execve
  0.03    0.000416           4       102           setsockopt
  0.02    0.000348          43         8           mmap
  0.02    0.000330          82         4           mprotect
  0.01    0.000149          74         2           openat
  0.01    0.000136          22         6           brk
  0.01    0.000106          35         3           close
  0.01    0.000102          34         3           fstat
  0.01    0.000091          30         3           munmap
  0.00    0.000043          43         1         1 faccessat
  0.00    0.000041          41         1           socket
  0.00    0.000030          30         1           read
  0.00    0.000029          29         1           set_robust_list
  0.00    0.000027           9         3           madvise
  0.00    0.000027          27         1           rseq
  0.00    0.000026          26         1           set_tid_address
  0.00    0.000023          23         1           prlimit64
  0.00    0.000021          21         1           rt_sigaction
  0.00    0.000020          20         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    1.527826          28     54181         5 total
