% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 53.50    0.864961          32     26771           sendto
 40.89    0.660963          24     26773           recvfrom
  1.88    0.030404           4      7036           fcntl
  1.46    0.023663           6      3519         2 accept
  0.98    0.015890        1444        11           ppoll
  0.96    0.015471           4      3518           setsockopt
  0.13    0.002080          43        48           write
  0.05    0.000821           7       113           brk
  0.04    0.000612           5       110           madvise
  0.04    0.000571         571         1           execve
  0.02    0.000386         128         3           close
  0.02    0.000293          36         8           mmap
  0.01    0.000104          52         2           openat
  0.01    0.000095          31         3           munmap
  0.01    0.000085          28         3           fstat
  0.00    0.000046          11         4           mprotect
  0.00    0.000036          36         1           read
  0.00    0.000035          35         1           set_tid_address
  0.00    0.000032          32         1         1 faccessat
  0.00    0.000028          28         1           set_robust_list
  0.00    0.000022          22         1           rseq
  0.00    0.000016          16         1           socket
  0.00    0.000009           9         1           bind
  0.00    0.000005           5         1           listen
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    1.616628          23     67934         3 total
