% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 57.77    0.855525          33     25719           close
 38.98    0.577236          21     26738         2 accept
  1.34    0.019818           9      2042           fcntl
  1.18    0.017477          65       267           write
  0.65    0.009573           9      1021           setsockopt
  0.03    0.000407          12        32           madvise
  0.03    0.000403          11        35           brk
  0.01    0.000108          13         8           mmap
  0.01    0.000098          24         4           pselect6
  0.00    0.000073          18         4           mprotect
  0.00    0.000039          39         1           socket
  0.00    0.000030          30         1           bind
  0.00    0.000029           9         3           munmap
  0.00    0.000021          21         1           rt_sigaction
  0.00    0.000021          21         1           listen
  0.00    0.000020          20         1           recvfrom
  0.00    0.000019           6         3           fstat
  0.00    0.000019          19         1           getrandom
  0.00    0.000019          19         1           rseq
  0.00    0.000018          18         1           set_tid_address
  0.00    0.000017          17         1           prlimit64
  0.00    0.000016          16         1           set_robust_list
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.480986          26     55891         3 total
