% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.45    1.077873          11     96561           close
 32.69    0.546708           5     97580         1 accept
  1.68    0.028111          28       976           write
  0.66    0.011102           5      2042           fcntl
  0.44    0.007284           7      1021           setsockopt
  0.02    0.000357          11        31           madvise
  0.02    0.000349          10        34           brk
  0.02    0.000268          67         4           mprotect
  0.00    0.000061          20         3           pselect6
  0.00    0.000056          56         1           socket
  0.00    0.000051          17         3           munmap
  0.00    0.000036          36         1           prlimit64
  0.00    0.000035          35         1           getrandom
  0.00    0.000033          33         1           bind
  0.00    0.000031          10         3           fstat
  0.00    0.000031          31         1           rt_sigaction
  0.00    0.000030          30         1           listen
  0.00    0.000029           3         8           mmap
  0.00    0.000012          12         1           recvfrom
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    1.672457           8    198281         2 total
