% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.53    0.891943          34     26129           sendto
 40.86    0.668217          25     26130           recvfrom
  1.60    0.026121          13      2006           fcntl
  1.02    0.016741          16      1008         6 accept
  0.86    0.014139          14      1003           setsockopt
  0.71    0.011690         343        34           pselect6
  0.15    0.002374        2374         1           bind
  0.05    0.000741          21        34           brk
  0.04    0.000732         732         1           execve
  0.04    0.000671          21        31           madvise
  0.04    0.000625          69         9           write
  0.03    0.000412         412         1           listen
  0.02    0.000246          30         8           mmap
  0.01    0.000198          66         3           munmap
  0.01    0.000187          46         4           mprotect
  0.01    0.000126          63         2           openat
  0.00    0.000068          22         3           close
  0.00    0.000049          49         1           getrandom
  0.00    0.000046          15         3           fstat
  0.00    0.000046          46         1           socket
  0.00    0.000036          36         1           read
  0.00    0.000034          34         1           set_tid_address
  0.00    0.000032          32         1         1 faccessat
  0.00    0.000031          31         1           set_robust_list
  0.00    0.000027          27         1           prlimit64
  0.00    0.000027          27         1           rseq
  0.00    0.000021          21         1           rt_sigaction
------ ----------- ----------- --------- --------- ----------------
100.00    1.635580          28     56419         7 total
