% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 51.91    1.181893          16     71712           sendto
 41.88    0.953341          13     71713           recvfrom
  2.24    0.051089        3193        16           ppoll
  1.48    0.033750           5      6665         5 accept
  1.40    0.031902           2     13322           fcntl
  0.75    0.017058           2      6661           setsockopt
  0.13    0.003033          32        92           write
  0.10    0.002246          10       211           brk
  0.04    0.000997           4       209           madvise
  0.02    0.000459         153         3           close
  0.02    0.000442         442         1           execve
  0.01    0.000187          23         8           mmap
  0.00    0.000045          15         3           fstat
  0.00    0.000030           7         4           mprotect
  0.00    0.000028          14         2           openat
  0.00    0.000023          23         1           bind
  0.00    0.000021          21         1           socket
  0.00    0.000017           5         3           munmap
  0.00    0.000014          14         1           listen
  0.00    0.000013          13         1           read
  0.00    0.000012          12         1         1 faccessat
  0.00    0.000003           3         1           rt_sigaction
  0.00    0.000003           3         1           getrandom
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000002           2         1           prlimit64
  0.00    0.000002           2         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    2.276614          13    170636         6 total
