% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.74    0.980084          25     38183           sendto
 39.73    0.711393          18     38184           recvfrom
  1.41    0.025200           5      5031         2 accept
  1.25    0.022426           2     10060           fcntl
  0.96    0.017273           3      5030           epoll_ctl
  0.88    0.015776          40       385           epoll_pwait
  0.73    0.012988           2      5030           setsockopt
  0.11    0.001998          38        52           write
  0.05    0.000831         831         1           execve
  0.04    0.000803           5       160           brk
  0.04    0.000639           4       157           madvise
  0.02    0.000338          42         8           mmap
  0.01    0.000169          42         4           mprotect
  0.01    0.000093          31         3           close
  0.01    0.000091          45         2           openat
  0.00    0.000068          34         2           munmap
  0.00    0.000067          22         3           fstat
  0.00    0.000055          55         1           rseq
  0.00    0.000036          36         1           set_robust_list
  0.00    0.000035          35         1         1 faccessat
  0.00    0.000035          35         1           socket
  0.00    0.000028          28         1           read
  0.00    0.000023          23         1           getrandom
  0.00    0.000022          22         1           set_tid_address
  0.00    0.000021          21         1           prlimit64
  0.00    0.000012          12         1           bind
  0.00    0.000007           7         1           epoll_create1
  0.00    0.000007           7         1           listen
  0.00    0.000003           3         1           rt_sigaction
------ ----------- ----------- --------- --------- ----------------
100.00    1.790521          17    102307         3 total
