% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.63    0.246318          35      6919         1 io_uring_enter
  0.40    0.000989         989         1           bind
  0.22    0.000539         539         1           execve
  0.21    0.000520          47        11           mmap
  0.11    0.000276         276         1           io_uring_setup
  0.08    0.000204          51         4           mprotect
  0.08    0.000199          16        12           setsockopt
  0.07    0.000179         179         1           read
  0.05    0.000123         123         1           listen
  0.04    0.000089          29         3           munmap
  0.02    0.000054          54         1           socket
  0.02    0.000047          15         3           brk
  0.01    0.000034          17         2           close
  0.01    0.000028           9         3           fstat
  0.01    0.000027          27         1           rt_sigaction
  0.01    0.000021          21         1           prlimit64
  0.01    0.000021          21         1           rseq
  0.01    0.000018          18         1           set_tid_address
  0.01    0.000018          18         1           getrandom
  0.01    0.000017          17         1           set_robust_list
  0.01    0.000013           6         2           openat
  0.00    0.000006           6         1         1 faccessat
  0.00    0.000004           2         2           fcntl
------ ----------- ----------- --------- --------- ----------------
100.00    0.249744          35      6974         2 total
