% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.62    8.663313        1653      5239           io_uring_enter
  0.31    0.026783          10      2618           setsockopt
  0.02    0.001750          19        92           brk
  0.02    0.001671          50        33           write
  0.01    0.001173          13        87           madvise
  0.01    0.000461          41        11           mmap
  0.00    0.000395         395         1           execve
  0.00    0.000157         157         1           io_uring_setup
  0.00    0.000116          29         4           mprotect
  0.00    0.000065          21         3           munmap
  0.00    0.000063          31         2           fcntl
  0.00    0.000054          54         1           read
  0.00    0.000050          25         2           close
  0.00    0.000044          14         3           fstat
  0.00    0.000041          20         2           openat
  0.00    0.000034          34         1           rseq
  0.00    0.000030          30         1           set_tid_address
  0.00    0.000028          28         1         1 faccessat
  0.00    0.000023          23         1           set_robust_list
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    8.696251        1072      8109         1 total
