% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.67    8.676412        1739      4988           io_uring_enter
  0.27    0.023350           9      2493           setsockopt
  0.02    0.001837          57        32           write
  0.01    0.001235          14        86           brk
  0.01    0.001082          13        82           madvise
  0.00    0.000312         312         1           execve
  0.00    0.000237          21        11           mmap
  0.00    0.000118          29         4           mprotect
  0.00    0.000087          29         3           munmap
  0.00    0.000083          41         2           openat
  0.00    0.000040          20         2           close
  0.00    0.000027           9         3           fstat
  0.00    0.000026          26         1           read
  0.00    0.000021          21         1           rseq
  0.00    0.000019          19         1         1 faccessat
  0.00    0.000018          18         1           prlimit64
  0.00    0.000017          17         1           getrandom
  0.00    0.000015          15         1           set_tid_address
  0.00    0.000015          15         1           set_robust_list
  0.00    0.000000           0         2           fcntl
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           io_uring_setup
------ ----------- ----------- --------- --------- ----------------
100.00    8.704951        1127      7721         1 total
