% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.46    8.178272        1641      4982         1 io_uring_enter
  0.46    0.037932          18      2007           setsockopt
  0.03    0.002170          31        70           brk
  0.02    0.001691          67        25           write
  0.02    0.001610          24        66           madvise
  0.00    0.000215         215         1           io_uring_setup
  0.00    0.000208          18        11           mmap
  0.00    0.000052          17         3           fstat
  0.00    0.000046          11         4           mprotect
  0.00    0.000045          15         3           munmap
  0.00    0.000029          29         1           getrandom
  0.00    0.000028          28         1           prlimit64
  0.00    0.000027          27         1           socket
  0.00    0.000019          19         1           rt_sigaction
  0.00    0.000019          19         1           bind
  0.00    0.000006           6         1           listen
  0.00    0.000003           1         2           fcntl
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         2           close
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    8.222372        1143      7190         2 total
