% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.69    1.063947          10     97128           close
 32.44    0.533476           5     98146         1 accept
  1.66    0.027248          27       982           write
  0.63    0.010402           5      2042           fcntl
  0.43    0.007055           6      1021           setsockopt
  0.04    0.000651         651         1           execve
  0.03    0.000486          13        35           brk
  0.02    0.000360          45         8           mmap
  0.01    0.000209           6        32           madvise
  0.01    0.000156          39         4           mprotect
  0.01    0.000088          29         3           munmap
  0.00    0.000073          36         2           openat
  0.00    0.000059          19         3           fstat
  0.00    0.000057          57         1           bind
  0.00    0.000047          47         1         1 faccessat
  0.00    0.000036          12         3           pselect6
  0.00    0.000034          34         1           prlimit64
  0.00    0.000033          33         1           read
  0.00    0.000032          32         1           set_robust_list
  0.00    0.000028          28         1           set_tid_address
  0.00    0.000026          26         1           socket
  0.00    0.000024          24         1           rt_sigaction
  0.00    0.000022          22         1           listen
  0.00    0.000022          22         1           getrandom
  0.00    0.000020          20         1           rseq
  0.00    0.000004           4         1           recvfrom
------ ----------- ----------- --------- --------- ----------------
100.00    1.644595           8    199422         2 total
