% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 45.47    1.142774          24     47358           sendto
 33.35    0.838355          17     47354           recvfrom
  6.13    0.154035           8     18004           fcntl
  5.22    0.131112          14      9012        11 accept
  3.83    0.096353          10      9002           epoll_ctl
  3.29    0.082579           9      9002           setsockopt
  1.06    0.026549          54       490           epoll_pwait
  0.70    0.017538          20       858           close
  0.56    0.014115         150        94           write
  0.20    0.004995          17       282           madvise
  0.15    0.003825          13       285           brk
  0.01    0.000354         354         1           execve
  0.01    0.000253          31         8           mmap
  0.01    0.000182          60         3           fstat
  0.00    0.000093          23         4           mprotect
  0.00    0.000085          42         2           openat
  0.00    0.000064          21         3           munmap
  0.00    0.000029          29         1           epoll_create1
  0.00    0.000026          26         1           prlimit64
  0.00    0.000024          24         1           read
  0.00    0.000023          23         1           rseq
  0.00    0.000019          19         1         1 faccessat
  0.00    0.000016          16         1           socket
  0.00    0.000016          16         1           getrandom
  0.00    0.000015          15         1           set_robust_list
  0.00    0.000014          14         1           set_tid_address
  0.00    0.000014          14         1           bind
  0.00    0.000005           5         1           rt_sigaction
  0.00    0.000004           4         1           listen
------ ----------- ----------- --------- --------- ----------------
100.00    2.513466          17    141774        12 total
