% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.45    0.879748          34     25724           sendto
 40.63    0.656517          25     25725           recvfrom
  1.51    0.024456          12      2004           fcntl
  0.96    0.015506          15      1011        10 accept
  0.84    0.013561          13      1002           epoll_ctl
  0.78    0.012606          12      1002           setsockopt
  0.68    0.011032          40       271           epoll_pwait
  0.04    0.000574          57        10           write
  0.03    0.000453          13        34           brk
  0.03    0.000413          13        31           madvise
  0.02    0.000257          64         4           mprotect
  0.01    0.000205          25         8           mmap
  0.01    0.000148          74         2           munmap
  0.00    0.000056          56         1           prlimit64
  0.00    0.000035          35         1           set_robust_list
  0.00    0.000035          35         1           rseq
  0.00    0.000033          33         1           set_tid_address
  0.00    0.000030          10         3           close
  0.00    0.000025          25         1           socket
  0.00    0.000022          22         1           epoll_create1
  0.00    0.000020          20         1           bind
  0.00    0.000017          17         1           listen
  0.00    0.000017          17         1           getrandom
  0.00    0.000013          13         1           rt_sigaction
  0.00    0.000011           3         3           fstat
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.615790          28     56849        11 total
