% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 53.37    1.155946          17     64790           sendto
 40.25    0.871888          13     64792           recvfrom
  1.68    0.036396           5      7058         6 accept
  1.43    0.030880           2     14106           fcntl
  1.19    0.025756          39       653           epoll_pwait
  1.04    0.022425           3      7053           epoll_ctl
  0.78    0.016988           2      7053           setsockopt
  0.12    0.002673          36        73           write
  0.05    0.001053           4       220           madvise
  0.05    0.001038           4       223           brk
  0.02    0.000340         113         3           close
  0.01    0.000165          20         8           mmap
  0.01    0.000161          53         3           munmap
  0.01    0.000129          32         4           mprotect
  0.00    0.000106         106         1           bind
  0.00    0.000030          30         1           socket
  0.00    0.000026          26         1           set_tid_address
  0.00    0.000024          24         1           set_robust_list
  0.00    0.000024          24         1           rseq
  0.00    0.000016          16         1           listen
  0.00    0.000015           5         3           fstat
  0.00    0.000011          11         1           epoll_create1
  0.00    0.000004           4         1           rt_sigaction
  0.00    0.000004           4         1           prlimit64
  0.00    0.000003           3         1           getrandom
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    2.166101          13    166057         7 total
