% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 63.64    0.966319          14     68582           close
 33.79    0.513037           7     69605         5 accept
  1.55    0.023587          33       696           write
  0.64    0.009765           4      2042           fcntl
  0.30    0.004524           4      1021           setsockopt
  0.02    0.000251           7        35           brk
  0.01    0.000214           6        32           madvise
  0.01    0.000207          25         8           mmap
  0.01    0.000133          19         7           pselect6
  0.01    0.000106          26         4           mprotect
  0.00    0.000058          19         3           munmap
  0.00    0.000035          35         1           socket
  0.00    0.000024          24         1           bind
  0.00    0.000023          23         1           listen
  0.00    0.000023          23         1           prlimit64
  0.00    0.000019          19         1           getrandom
  0.00    0.000018          18         1           set_robust_list
  0.00    0.000018          18         1           rseq
  0.00    0.000017           5         3           fstat
  0.00    0.000017          17         1           rt_sigaction
  0.00    0.000016          16         1           set_tid_address
  0.00    0.000005           5         1           recvfrom
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.518416          10    142053         6 total
