% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 51.13    1.278417          19     63929           sendto
 39.35    0.983890          15     63930           recvfrom
  3.09    0.077201           4     18004           fcntl
  2.63    0.065640           7      9011        10 accept
  1.77    0.044315        3408        13           ppoll
  1.47    0.036700           4      9002           setsockopt
  0.33    0.008302          66       124           write
  0.08    0.002082           7       284           brk
  0.07    0.001805           6       281           madvise
  0.02    0.000446         148         3           close
  0.01    0.000335          41         8           mmap
  0.01    0.000188          47         4           mprotect
  0.01    0.000176         176         1           execve
  0.00    0.000118         118         1           read
  0.00    0.000097          32         3           fstat
  0.00    0.000089          29         3           munmap
  0.00    0.000076          38         2           openat
  0.00    0.000041          41         1         1 faccessat
  0.00    0.000036          36         1           prlimit64
  0.00    0.000030          30         1           set_tid_address
  0.00    0.000030          30         1           listen
  0.00    0.000026          26         1           set_robust_list
  0.00    0.000026          26         1           socket
  0.00    0.000024          24         1           rseq
  0.00    0.000020          20         1           bind
  0.00    0.000003           3         1           rt_sigaction
  0.00    0.000003           3         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    2.500116          15    164613        11 total
