% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.39    0.902274          34     26157           sendto
 40.07    0.664680          25     26158           recvfrom
  1.74    0.028878           9      3004           fcntl
  1.20    0.019854          13      1503         2 accept
  0.93    0.015386          10      1502           epoll_ctl
  0.77    0.012847           8      1502           setsockopt
  0.72    0.011947          45       265           epoll_pwait
  0.07    0.001153          76        15           write
  0.03    0.000555          11        49           brk
  0.03    0.000420           9        46           madvise
  0.01    0.000171          42         4           mprotect
  0.01    0.000131         131         1           getrandom
  0.00    0.000072           9         8           mmap
  0.00    0.000067          22         3           close
  0.00    0.000049          16         3           munmap
  0.00    0.000044          14         3           fstat
  0.00    0.000037          37         1           socket
  0.00    0.000036          36         1           rseq
  0.00    0.000033          33         1           bind
  0.00    0.000033          33         1           listen
  0.00    0.000027          27         1           set_tid_address
  0.00    0.000025          25         1           rt_sigaction
  0.00    0.000024          24         1           set_robust_list
  0.00    0.000021          21         1           prlimit64
  0.00    0.000016          16         1           epoll_create1
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.658780          27     60237         3 total
